StudentID,StartDate,EndDate,RecordedDate,Duration,Progress,Finished,Status,LocationLatitude,LocationLongitude,PolicyArea,Q_ModeratorSupport,Q_StudentPrep,Q_Participation,Q_ConsultantContribution,Q_DiscussionBalance,Q_CommunityInvolvement,Q_RoomSize,Q_Recommend,Learning_Breakout,Learning_Breakout_Other,Learning_Symposium,Learning_Symposium_Other,ActionStations_Chosen,ActionStations_Wanted,Connection_Before,Connection_After,AcademicConfidence_Before,AcademicConfidence_After,ChangeConfidence_Before,ChangeConfidence_After,Quality_Flag,Missing_Count,Q_ModeratorSupport_Num,Q_StudentPrep_Num,Q_Participation_Num,Q_ConsultantContribution_Num,Q_DiscussionBalance_Num,Q_CommunityInvolvement_Num,Q_RoomSize_Num,Q_Recommend_Num,Connection_Before_Num,Connection_After_Num,AcademicConfidence_Before_Num,AcademicConfidence_After_Num,ChangeConfidence_Before_Num,ChangeConfidence_After_Num
11521537,11/2/2023 22:13,11/2/2023 22:20,11/2/2023 22:20,462,100,TRUE,IP Address,39.7362,-121.8378,LGBTQIA+ Policy,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I can improve my policy topic solution now that I have more information.,I want to learn more about my policy topic.",,"I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Lobby government officials,Elect supportive public officials,Write a letter to a government offical",Social media for digital advocacy,Agree,Agree,Agree,Agree,Agree,Agree,Good,0,4,4,4,5,4,4,4,4,4,4,4,4,4,4
11835695,11/2/2023 22:17,11/2/2023 22:22,11/2/2023 22:22,249,100,TRUE,IP Address,39.7362,-121.8378,K-12 & Higher Education Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I want to learn more about my policy topic.",,"I am a member of the city of Chico community.,I am capable of creating change in my community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Social media for digital advocacy,Petition,Elect supportive public officials","Lobby government officials,Organize a public demonstration,Write a letter to a government official",Agree,Agree,Agree,Agree,Agree,Agree,Good,0,5,5,5,5,5,5,5,4,4,4,4,4,4,4
11574837,11/2/2023 22:14,11/2/2023 22:22,11/2/2023 22:22,484,100,TRUE,IP Address,39.1061,-121.6159,Homelessness Policy,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,"I have ideas that are worth sharing.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I can talk to experts about my policy topic with confidence.",,"I am a member of the city of Chico community.,I am capable of creating change in my community.",,"Petition,Write a letter to a government offical,2",Social media for digital advocacy,Disagree,Agree,Agree,Agree,Disagree,Agree,Good,0,4,4,4,5,4,5,2,4,2,4,4,4,2,4
11207535,11/2/2023 22:21,11/2/2023 22:24,11/2/2023 22:24,183,100,TRUE,IP Address,39.7362,-121.8378,Drug Policy,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I can talk about my research with expertise.,I want to learn more about my policy topic.,I can talk to experts about my policy topic with confidence.",Perspectives of other people and their experiences/thoughts,"I am a member of the city of Chico community.,I am capable of creating change in my community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Lobby government officials,Social media for digital advocacy,2",Organize a public demonstration,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Good,0,5,4,5,5,5,5,5,5,5,5,5,5,5,5
11981607,11/2/2023 22:19,11/2/2023 22:24,11/2/2023 22:24,287,100,TRUE,IP Address,39.7362,-121.8378,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I can talk about my research with expertise.,I want to learn more about my policy topic.,I can talk to experts about my policy topic with confidence.",,"I am capable of creating change in my community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Petition,Organize a public demonstration,Write a letter to a government offical",Social media for digital advocacy,Agree,Agree,Agree,Disagree,Agree,Agree,Good,0,5,5,5,5,5,5,5,5,4,4,4,2,4,4
12043669,11/2/2023 22:22,11/2/2023 22:26,11/2/2023 22:26,238,100,TRUE,IP Address,39.6054,-121.5751,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I want to learn more about my policy topic.",,"I am a member of the city of Chico community.,I am capable of creating change in my community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Petition,Organize a public demonstration,Write a letter to a government offical",,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Good,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11874474,11/2/2023 22:24,11/2/2023 22:27,11/2/2023 22:27,173,100,TRUE,IP Address,39.7362,-121.8378,Climate Change Policy,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I can talk about my research with expertise.,I want to learn more about my policy topic.,I can talk to experts about my policy topic with confidence.",,"I am a member of the city of Chico community.,I am capable of creating change in my community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Elect supportive public officials,Write a letter to a government offical,2",Social media for digital advocacy,Agree,Agree,Disagree,Disagree,Agree,Agree,Good,0,4,5,4,5,5,4,2,2,4,4,2,2,4,4
11898785,11/2/2023 22:22,11/2/2023 22:29,11/2/2023 22:29,438,100,TRUE,IP Address,39.7362,-121.8378,"Food, Agriculture, and Animal Policy",Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I can talk about my research with expertise.,I want to learn more about my policy topic.,I can talk to experts about my policy topic with confidence.",,"I am a member of the city of Chico community.,I am capable of creating change in my community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Lobby government officials,Social media for digital advocacy,Organize a public demonstration","Petition,Elect supportive public officials,Write a letter to a government official",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Good,0,5,1,5,5,5,5,5,5,5,5,5,5,5,5
12126778,11/2/2023 22:26,11/2/2023 22:30,11/2/2023 22:30,293,100,TRUE,IP Address,39.7272,-121.8129,Criminal Justice Policy,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,"I can improve my policy topic solution now that I have more information.,I want to learn more about my policy topic.,I can talk to experts about my policy topic with confidence.",,I know at least one way to create change in my community.,,"Lobby government officials,Elect supportive public officials,Organize a public demonstration","Social media for digital advocacy,Petition",Agree,,Agree,Disagree,Agree,Agree,Good,1,5,4,5,5,5,4,4,4,4,,4,2,4,4
11696686,11/2/2023 23:10,11/2/2023 23:12,11/2/2023 23:12,119,100,TRUE,IP Address,39.8068,-121.867,Healthcare Policy,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I can improve my policy topic solution now that I have more information.,,I am capable of creating change in my community.,,"Lobby government officials,Petition,Organize a public demonstration",Lobby government officials,Agree,Agree,Agree,Agree,Agree,Agree,Rushed,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11428392,11/2/2023 23:10,11/2/2023 23:13,11/2/2023 23:13,126,100,TRUE,IP Address,39.7362,-121.8378,K-12 & Higher Education Policy,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Other people are interested in my ideas.,I learned a lot about my policy topic this semester.",,"I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Lobby government officials,Write a letter to a government offical,2",Social media for digital advocacy,Agree,Agree,Agree,Agree,Agree,Agree,Good,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11597847,11/2/2023 23:11,11/2/2023 23:13,11/2/2023 23:13,110,100,TRUE,IP Address,39.7272,-121.8129,K-12 & Higher Education Policy,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"I can improve my policy topic solution now that I have more information.,I can talk to experts about my policy topic with confidence.",,"I am capable of creating change in my community.,I am capable of creating change in my community.",,"Petition,Organize a public demonstration,2",Social media for digital advocacy,Agree,Agree,Agree,Agree,Agree,Agree,Rushed,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10993711,11/2/2023 23:10,11/2/2023 23:13,11/2/2023 23:13,189,100,TRUE,IP Address,36.7637,-119.7602,Firearm Policy,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,,,I know at least one way to create change in my community.,,"Lobby government officials,Petition,2",Social media for digital advocacy,Disagree,Agree,Disagree,Agree,Disagree,Agree,Good,0,4,2,4,4,4,4,2,2,2,4,2,4,2,4
11414937,11/2/2023 23:11,11/2/2023 23:13,11/2/2023 23:13,142,100,TRUE,IP Address,39.7362,-121.8378,"Food, Agriculture, and Animal Policy",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Other people are interested in my ideas.,I learned a lot about my policy topic this semester.,I can talk to experts about my policy topic with confidence.",,"I am a member of the city of Chico community.,I am capable of creating change in my community.",,"Petition,Organize a public demonstration,2","Social media for digital advocacy,Elect supportive public officials",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Good,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11886135,11/2/2023 23:11,11/2/2023 23:14,11/2/2023 23:14,183,100,TRUE,IP Address,39.7362,-121.8378,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Other people are interested in my ideas.,I learned a lot about my policy topic this semester.,I can talk to experts about my policy topic with confidence.",,"I am a member of the city of Chico community.,I am capable of creating change in my community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Lobby government officials,Petition,2",Social media for digital advocacy,Agree,Agree,Agree,Agree,Agree,Agree,Good,0,5,5,5,5,5,5,5,5,4,4,4,4,4,4
12166636,11/2/2023 23:11,11/2/2023 23:14,11/2/2023 23:14,184,100,TRUE,IP Address,39.7362,-121.8378,K-12 & Higher Education Policy,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,I want to learn more about my policy topic.,,I know at least one way to create change in my community.,,"Petition,Organize a public demonstration,2",Write a letter to a government official,Disagree,Disagree,Agree,Agree,Agree,Agree,Good,0,5,4,5,4,2,4,1,2,2,2,4,4,4,4
8795801,11/2/2023 23:11,11/2/2023 23:14,11/2/2023 23:14,169,100,TRUE,IP Address,39.1252,-121.6589,Immigration Policy,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,"Other people are interested in my ideas.,I learned a lot about my policy topic this semester.",,"I am a member of the city of Chico community.,I am capable of creating change in my community.",,"Social media for digital advocacy,Elect supportive public officials,2",Petition,Agree,Agree,Agree,Agree,Agree,Agree,Good,0,5,4,4,5,4,4,4,4,4,4,4,4,4,4
11860694,11/2/2023 23:10,11/2/2023 23:14,11/2/2023 23:14,210,100,TRUE,IP Address,39.7362,-121.8378,"Food, Agriculture, and Animal Policy",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"Other people are interested in my ideas.,I can talk to experts about my policy topic with confidence.",,"I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Social media for digital advocacy,Write a letter to a government offical,2","Petition,Organize a public demonstration",Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Good,0,5,5,5,5,5,5,5,4,2,4,4,4,5,5
12039847,11/2/2023 23:11,11/2/2023 23:14,11/2/2023 23:14,197,100,TRUE,IP Address,38.581,-121.4939,Firearm Policy,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I can talk about my research with expertise.,I want to learn more about my policy topic.,I can talk to experts about my policy topic with confidence.",,"I am a member of the city of Chico community.,I am capable of creating change in my community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Social media for digital advocacy,Petition,Organize a public demonstration",Write a letter to a government official,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Good,0,5,4,5,5,5,5,2,5,5,5,5,5,5,5
8781501,11/2/2023 23:11,11/2/2023 23:14,11/2/2023 23:14,199,100,TRUE,IP Address,39.7272,-121.8129,K-12 & Higher Education Policy,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I learned a lot about my policy topic this semester.,I can talk about my research with expertise.,I can talk to experts about my policy topic with confidence.",The way certain school districts are funded,"I am a member of the city of Chico community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Lobby government officials,Organize a public demonstration,Write a letter to a government offical",Elect supportive public officials,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Good,0,5,4,4,2,2,5,2,4,2,4,4,4,5,5
11975679,11/2/2023 23:11,11/2/2023 23:14,11/2/2023 23:14,190,100,TRUE,IP Address,37.8007,-122.4097,Drug Policy,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,"I have ideas that are worth sharing.,I learned a lot about my policy topic this semester.,I can talk to experts about my policy topic with confidence.",,"I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Social media for digital advocacy,Petition,Organize a public demonstration","Lobby government officials,Write a letter to a government official",Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Good,0,5,5,4,4,4,4,4,4,5,5,4,4,4,5
11803247,11/2/2023 23:11,11/2/2023 23:14,11/2/2023 23:14,182,100,TRUE,IP Address,39.7362,-121.8378,Climate Change Policy,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,I want to learn more about my policy topic.,,I am capable of creating change in my community.,,"Social media for digital advocacy,Petition,Elect supportive public officials",Organize a public demonstration,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Good,0,5,4,4,5,5,5,2,4,4,4,4,4,4,5
11539646,11/2/2023 23:11,11/2/2023 23:15,11/2/2023 23:15,214,100,TRUE,IP Address,39.7272,-121.8129,Healthcare Policy,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,,,I know at least one way to create change in my community.,Active contact with government officials is the best way to garner their attention to your policy issue.,"Lobby government officials,Elect supportive public officials,Write a letter to a government offical","Social media for digital advocacy,Petition",Agree,,Agree,Agree,Agree,Agree,Good,1,5,4,2,5,4,4,4,4,4,,4,4,4,4
12004500,11/2/2023 23:11,11/2/2023 23:15,11/2/2023 23:15,223,100,TRUE,IP Address,39.7362,-121.8378,"Food, Agriculture, and Animal Policy",Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,I can improve my policy topic solution now that I have more information.,,"I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Lobby government officials,Organize a public demonstration,Write a letter to a government offical","Social media for digital advocacy,Petition",Agree,Agree,Agree,Agree,Disagree,Disagree,Good,0,2,4,4,4,2,4,4,4,4,4,4,4,2,2
11349794,11/2/2023 23:11,11/2/2023 23:15,11/2/2023 23:15,228,100,TRUE,IP Address,39.7362,-121.8378,Healthcare Policy,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,"I have ideas that are worth sharing.,I can improve my policy topic solution now that I have more information.,I can talk about my research with expertise.",,I know at least one way to create change in my community.,,"Petition,Elect supportive public officials,2",,Agree,Agree,Agree,Agree,Agree,Agree,Good,0,5,4,4,5,5,4,2,4,4,4,4,4,4,4
11561122,11/2/2023 23:11,11/2/2023 23:15,11/2/2023 23:15,242,100,TRUE,IP Address,39.7272,-121.8129,Cost of Living Policy,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,"Other people are interested in my ideas.,I want to learn more about my policy topic.",,"I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Elect supportive public officials,Organize a public demonstration,Write a letter to a government offical","Social media for digital advocacy,Petition",Agree,Agree,Disagree,Agree,Agree,Agree,Good,0,5,4,4,4,4,4,4,5,4,4,2,4,4,4
11525125,11/2/2023 23:12,11/2/2023 23:15,11/2/2023 23:15,209,100,TRUE,IP Address,39.8068,-121.867,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Other people are interested in my ideas.,,I know at least one way to create change in my community.,,"Social media for digital advocacy,Elect supportive public officials,2","Write a letter to the editor,Social media for digital advocacy,Petition",Disagree,Agree,Agree,Agree,Disagree,Disagree,Good,0,5,5,5,5,5,1,4,1,2,4,4,4,2,2
12074375,11/2/2023 23:13,11/2/2023 23:15,11/2/2023 23:15,145,100,TRUE,IP Address,39.7362,-121.8378,Drug Policy,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,I want to learn more about my policy topic.,,I am capable of creating change in my community.,,"Social media for digital advocacy,Petition,2",Organize a public demonstration,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Good,0,5,4,5,5,2,1,4,5,4,4,2,4,4,5
11843703,11/2/2023 23:11,11/2/2023 23:15,11/2/2023 23:15,251,100,TRUE,IP Address,39.7362,-121.8378,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I have ideas that are worth sharing.,Other people are interested in my ideas.,I learned a lot about my policy topic this semester.,I can talk to experts about my policy topic with confidence.",,"I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Petition,Elect supportive public officials,Write a letter to a government offical","Write a letter to the editor,Social media for digital advocacy",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Good,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11151440,11/2/2023 23:11,11/2/2023 23:16,11/2/2023 23:16,305,100,TRUE,IP Address,39.7362,-121.8378,Immigration Policy,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,"I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.",,"I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Lobby government officials,Petition,2","Social media for digital advocacy,Organize a public demonstration",Agree,Agree,Agree,Agree,Agree,Agree,Good,0,4,5,5,5,4,5,5,4,4,4,4,4,4,4
12020789,11/2/2023 23:11,11/2/2023 23:16,11/2/2023 23:16,297,100,TRUE,IP Address,39.7362,-121.8378,Reproductive Health Policy,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,"I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I want to learn more about my policy topic.",,"I am capable of creating change in my community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",,"Petition,Organize a public demonstration,Write a letter to a government offical","Social media for digital advocacy,Elect supportive public officials",Agree,Agree,Agree,Agree,Agree,Agree,Good,0,4,5,4,5,5,4,4,4,4,4,4,4,4,4
11642229,11/2/2023 23:12,11/2/2023 23:16,11/2/2023 23:16,245,100,TRUE,IP Address,39.7272,-121.8129,Firearm Policy,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"Other people are interested in my ideas.,I can improve my policy topic solution now that I have more information.,I learned a lot about my policy topic this semester.,I want to learn more about my policy topic.",I learned about how background checks are hard to pass due to the invasion of privacy.,"I am a member of the city of Chico community.,I am capable of creating change in my community.,I know at least one way to create change in my community.",There’s a lot of people who want to add more mental health resources to Chico.,"Lobby government officials,Petition,Organize a public demonstration",Social media for digital advocacy,Agree,Agree,Agree,Agree,Agree,Agree,Good,0,5,4,5,5,5,5,5,4,4,4,4,4,4,4
