Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Town Hall Survey

Informed Consent


Hello Chico Student:


The following online survey is part of an important university study on how to improve students' experiences at the Town Hall Meeting. It will take approximately 5-10 minutes to complete.






















Taking part in this research is completely voluntary. If you choose to participate in this research, it is very important that you answer the questions as thoughtfully and frankly as possible. All your answers will be kept strictly confidential. You can stop participating at any time without penalty to your grade.
We would also like to emphasize that you will NOT be penalized if you choose to omit answers to some questions on the survey. To record your answers, you must proceed all the way through the end of the survey, even if you choose to omit answers to some questions. In addition, proceeding to the very end of the survey will remove any survey response information from the screen on your computer/device, protecting your privacy. 


Your student ID is being collected so we can match your responses to other important university programs (U-Course, Town Hall Meeting, Great Debate) and demographic information. IDs may be used for statistical analysis alongside other data such a GPA, retention, and graduation rates. Again, your answers are strictly confidential, and we are bound by rules of this University to maintain this confidentiality. Your information collected as part of this research will be stored on a password protected computer in a locked office within the First-Year Experience Program office and on a protected server that is located behind a secure firewall at the University Office for Institutional Research. You must be 18-years of age or older to take this survey.


Thank you for filling out this survey as completely and honestly as you can. We are asking you to do this because we value your experience and ideas about how to improve students' experiences here at Chico State.


If you'd like more information about this project, contact the First-Year Experience Program office at fye@csuchico.edu or (530) 898-3705.",Please enter your student ID number. 9 digit number on your student ID. Make sure this is correct to get credit for the survey.,Please re-enter your student ID number. 9 digit number on your student ID. Make sure this is correct to get credit for the survey.,What was your policy area or expertise?,The moderators effectively facilitated the discussion.,"The
students seemed well prepared for the discussion.","The
discussion among all participants was productive.","The consultants contributed effectively to
the conversation.",The Town Hall Meeting is useful for sharing ideas and involving campus and community members in a discussion of those ideas.,"I
would recommend the Town Hall Meeting next semester to others.",What did the Town Hall Meeting mean to you?,What was your biggest takeaway from your Breakout room discussion?,Which three action stations did you choose to do at the Action Symposium?,"Which, if any, of the action stations did you want to participate in but were not able to?","In preparation for the Town Hall Meeting, I feel an increased connection to Chico State and larger Chico community.","In participating in the Town Hall Meeting event, I feel an increased connection to Chico State and larger Chico community.","In preparation for the Town Hall Meeting, I feel that my confidence in my academic ability increased.","In participating in the Town Hall Meeting event, I feel that my confidence in my academic ability increased.","In preparation for the Town Hall Meeting, I have increased my confidence and ability to affect change in my community.","In participating in the Town Hall Meeting event, I have increased my confidence and ability to affect change in my community.","In preparation for the Town Hall Meeting, I have increased my confidence and ability to affect change in my community.","Because of my participation in the Town Hall Meeting event, I feel more likely to succeed in future courses.",Knowing I was participating in the Town Hall Meeting event changed my approach to my POLS 155 coursework.,What could be improved to make the Town Hall Meeting better?,Why did you take a Town Hall Section of POLS 155?
4/7/2023 11:07,4/7/2023 11:17,IP Address,132.241.174.67,100,572,TRUE,4/7/2023 11:17,R_cU4nwkkmzj9wCFb,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11453963,11453963,Reproductive Health Policy,Agree,Agree,Agree,Agree,Agree,Agree,THM is a really good way to share ideas and develop a further understanding of one's policy topic.,that there are some serious flaws in our education system,"Social media for digital advocacy,Elect supportive public officials,A letter to a government official","Petition,Organize a public demonstration",Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,"I thought it was a pretty good system already, but maybe make it shorter.",POLS 155 is a GE I need in order to graduate.
4/7/2023 11:06,4/7/2023 11:17,IP Address,132.241.174.228,100,666,TRUE,4/7/2023 11:17,R_1dMEupORreHQZrx,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,8648992,8648992,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,I got to share ideas with other people who were interested in the same topic as myself. I loved getting to discuss and hear new ideas from people who did similar research. ,Reproductive Healthcare Policy is a complex and diverse topic that affects all women in various ways. ,"Petition,Organize a public demonstration,A letter to a government official",Social media for digital advocacy,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,,It was required for my degree. 
4/7/2023 11:13,4/7/2023 11:24,IP Address,132.241.174.109,100,667,TRUE,4/7/2023 11:24,R_WATVJO6jnKC23nj,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11627526,11627526,Housing and Homelessness Policy,Agree,Agree,Agree,Agree,Agree,Disagree,The town hall meeting helped me to reflect on people who may view my policy differently.,My biggest takeaway is that the best way to personally make a change in government is to be active in your own community.,"Write a letter to the editor,Social media for digital advocacy,Organize a public demonstration",,Disagree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,I would have liked more time to talk to policy experts instead of just having a discussion with students.,I thought it was a GE requirement.
4/7/2023 12:01,4/7/2023 12:11,IP Address,132.241.174.96,100,555,TRUE,4/7/2023 12:11,R_3RsztnCAkxByBk6,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11008687,11008687,Criminal Justice Policy,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,A Day to share ideas,Many of our policies are interconnected and can be simultaneously solved,"Write a letter to the editor,Petition,Elect supportive public officials","Organize a public demonstration,A letter to a government official",Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,more professionals ,I needed too
4/7/2023 13:01,4/7/2023 13:07,IP Address,132.241.174.77,100,358,TRUE,4/7/2023 13:07,R_1rB35tXfDK5IsrM,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,8525453,8525453,Criminal Justice Policy,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,it was an assignment,getting thr tips to push for getting noticed and reaching for a change,"Lobbying government officials,Write a letter to the editor,Petition","Elect supportive public officials,Organize a public demonstration,A letter to a government official",Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,,It was one of my GE
4/7/2023 19:26,4/7/2023 19:28,IP Address,166.205.87.18,100,145,TRUE,4/7/2023 19:28,R_3hzFeFYliD739DW,,,,,34.0544,-118.244,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11111244,11111244,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It showed how much as a community we’ve grown to empower women,It was amazing to see how involved and knowledgeable everyone was,"Petition,Organize a public demonstration,A letter to a government official",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,
4/7/2023 19:27,4/7/2023 19:29,IP Address,132.241.174.208,100,114,TRUE,4/7/2023 19:29,R_3hsb4h1o3cDNjKY,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11803390,11803390,Climate Change and Environmental Policy,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It was so eye opening. ,Being inspired to make a change.,"Write a letter to the editor,Social media for digital advocacy,Organize a public demonstration",Elect supportive public officials,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,
4/7/2023 19:26,4/7/2023 19:29,IP Address,132.241.174.202,100,144,TRUE,4/7/2023 19:29,R_3RsWMGqFpXriIWk,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11357204,11357204,Firearm Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It was a way to be open minded and view all aspects of our personal policy,That Shootings need to stop,Lobbying government officials,"Petition,A letter to a government official",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It was perfect ,It was required 
4/7/2023 19:27,4/7/2023 19:30,IP Address,73.90.172.204,100,172,TRUE,4/7/2023 19:30,R_PSDBz2JXpAJKaQx,,,,,39.7272,-121.8129,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11781602,11781602,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Expressing my opinions and knowledge,Opened my eyes to other situations that my policy topic covers rather than abortion care. ,"Write a letter to the editor,Social media for digital advocacy,Organize a public demonstration",,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I think it was great! I don’t have any comments or complaints. ,It was required. 
4/7/2023 19:26,4/7/2023 19:30,IP Address,107.127.14.70,100,214,TRUE,4/7/2023 19:30,R_3k5O5SY9NHcBXNP,,,,,38.581,-121.4939,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11778456,11778456,Healthcare Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I learned so much and got good connections for my future job plan,There’s a lot more we can do for this country then I thought ,"Petition,Elect supportive public officials,A letter to a government official",Social media for digital advocacy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Talk about what we have to present and do in the breakout rooms more. I knew we would share our but I was unaware how singled out it was. Wasn’t bad. Just caught me by surprise ,I want to be a lawyer so it helped prepare me for my future 
4/7/2023 19:26,4/7/2023 19:30,IP Address,132.241.174.223,100,238,TRUE,4/7/2023 19:30,R_2aEwkPmv8TaBbeI,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11439871,11439871,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It was a good outlet for me and other peers to take park in a meaningful real topic that we are interested in. ,My biggest take away was seeing how all the different perspectives and reasons why they chose this policy ultimately lead up to the same fundamental purpose to reinstate Roe and or protect abortion laws,"Lobbying government officials,Social media for digital advocacy,Organize a public demonstration",Organize a public demonstration,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,"I took a town hall section of polls 155 because I was interested in learning firsthand about the government in policy making, and I felt like this was a good way to do that"
4/7/2023 19:26,4/7/2023 19:30,IP Address,199.48.116.70,100,249,TRUE,4/7/2023 19:30,R_UJQP1lBTiwDIsFj,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11037066,11037066,Immigration Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I managed to discuss my policy ideas with other student students and professors and I was able to widen my ideas,To be able to obtain more ideas on how to better implement my policy idead,"Lobbying government officials,Petition,Elect supportive public officials",,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,I really wanted to challenge myself and see the perspective of other individuals 
4/7/2023 19:27,4/7/2023 19:30,IP Address,75.4.35.117,100,175,TRUE,4/7/2023 19:30,R_3OqOyxJOAWfcu2R,,,,,39.7272,-121.8129,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11146916,11146916,Drug Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It meant I was being heard,An exchanfe of ideas is a good thing,"Write a letter to the editor,Elect supportive public officials,Organize a public demonstration",,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,
4/7/2023 19:27,4/7/2023 19:30,IP Address,73.116.105.134,100,196,TRUE,4/7/2023 19:30,R_3g1tOzM2SGdioRe,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11165623,11165623,Criminal Justice Policy,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,It helped me add to my paper and ideas it also helped me with what I want to look into for my future,I enjoyed the passion the moderators had and it helped me feel that again ,"Lobbying government officials,Write a letter to the editor,Petition",A letter to a government official,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,More snacks !!!,requirement 
4/7/2023 19:26,4/7/2023 19:30,IP Address,73.48.154.229,100,246,TRUE,4/7/2023 19:30,R_3FRUdyIEjaldTIO,,,,,39.7272,-121.8129,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,10588007,10588007,Drug Policy,Agree,Agree,Strongly Agree,Agree,Agree,Agree,It allowed me to feel more involved on campus while also learning more about what can be done locally and fedearslly on politics.,The only way to achieve change is to continuously push for it l.,"Lobbying government officials,Petition,A letter to a government official",Social media for digital advocacy,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,It was ran just right in my opinion.,Need it for my major.
4/7/2023 19:26,4/7/2023 19:32,IP Address,132.241.174.204,100,353,TRUE,4/7/2023 19:32,R_3iUrWkA1Z2ijSHv,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11642879,11642879,Housing and Homelessness Policy,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,"To me, The Town Hall Meeting was the best event to really get connected and educated about issues in the community and on a broader scale and hearing everyone’s ideas was really awesome. ",My biggest take away was just how much bigger the issue is and I learned so much and that there are so many contributing factors that cause homelessness and are so overlooked and need to be taken action on. ,"Write a letter to the editor,Social media for digital advocacy,Elect supportive public officials",,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,,I thought it would be a cool event to get involved and connected. 
4/7/2023 19:26,4/7/2023 19:33,IP Address,172.225.87.25,100,362,TRUE,4/7/2023 19:33,R_UgvAjkaSFLIae65,,,,,39.7283,-121.8389,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11631621,11631621,Immigration Policy,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,It showed me that there’s so many other people that care about the immigration policy as much as I do ,It made me be really open minded and I learned so many new things ,Social media for digital advocacy,A letter to a government official,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Nothing I can think of ,Because I had to
4/7/2023 19:26,4/7/2023 19:33,IP Address,107.77.214.94,100,405,TRUE,4/7/2023 19:33,R_2Ucpx9A2EGPw77m,,,,,37.342,-121.9049,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11577372,11577372,Firearm Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The town hall meeting was a really good way for students to show their ideas ,Everyone has similar but slightly varied views when it comes to my topic ,"Write a letter to the editor,Social media for digital advocacy,Elect supportive public officials","Organize a public demonstration,A letter to a government official",Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Food,Because I wanted to have a conversation about my policy problem
4/7/2023 19:26,4/7/2023 19:34,IP Address,104.28.124.86,100,498,TRUE,4/7/2023 19:34,R_ve1ASByr6a2v6qR,,,,,33.7629,-118.1889,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11214633,11214633,Firearm Policy,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"It was a means for me to share my thoughts with those who had relatively the same view, but also different ideas as me.",There are those who had many good ideas that I sort have never thought of.,"Write a letter to the editor,Petition,A letter to a government official","Social media for digital advocacy,Elect supportive public officials",Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Not many talked in my group when we first got into our breakout groups, but as soon as we made smaller groups, that’s when we had more engaging discussions.","I’m not sure what this question is asking, but I took this as a required course, but I do understand the importance of it."
4/7/2023 19:27,4/7/2023 19:34,IP Address,132.241.174.70,100,459,TRUE,4/7/2023 19:34,R_3mdZawjLgpBVL5Y,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11484448,11484448,Drug Policy,Strongly Agree,Agree,Agree,Agree,Agree,Agree,A grade.,I just hadn't thought about the differences between the terms decriminalized and legalized and that was something that we ended up landing on towards the end of the session,"Social media for digital advocacy,Petition,Elect supportive public officials","Lobbying government officials,A letter to a government official",Disagree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Disagree,I think that the whole program makes it seem very realistic that people can petition and change the things that they want to change in the world and I feel that leaves an inaccurate representation of how their voices are actually heard. The moderators and consultants mentioned petitioning at the city council for democratic-leaning policies that would never actually pass in Chico's conservative dominated legislature.,I ain't mean to do that shit. I had no clue that some classes did a Town Hall and some didn't. Since it is made up to be a big project I definitely would have avoided this section given the chance.
