Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Town Hall Survey

Informed Consent


Hello Chico Student:


The following online survey is part of an important university study on how to improve students' experiences at the Town Hall Meeting. It will take approximately 5-10 minutes to complete.






















Taking part in this research is completely voluntary. If you choose to participate in this research, it is very important that you answer the questions as thoughtfully and frankly as possible. All your answers will be kept strictly confidential. You can stop participating at any time without penalty to your grade.
We would also like to emphasize that you will NOT be penalized if you choose to omit answers to some questions on the survey. To record your answers, you must proceed all the way through the end of the survey, even if you choose to omit answers to some questions. In addition, proceeding to the very end of the survey will remove any survey response information from the screen on your computer/device, protecting your privacy. 


Your student ID is being collected so we can match your responses to other important university programs (U-Course, Town Hall Meeting, Great Debate) and demographic information. IDs may be used for statistical analysis alongside other data such a GPA, retention, and graduation rates. Again, your answers are strictly confidential, and we are bound by rules of this University to maintain this confidentiality. Your information collected as part of this research will be stored on a password protected computer in a locked office within the First-Experience Program office and on a protected server that is located behind a secure firewall at the University Office for Institutional Research. You must be 18-years of age or older to take this survey.


Thank you for filling out this survey as completely and honestly as you can. We are asking you to do this because we value your experience and ideas about how to improve students' experiences here at Chico State.


If you'd like more information about this project, contact the First-Year Experience Program office at fye@csuchico.edu or (530) 898-3705.",Please enter your student ID number. 9 digit number on your student ID. Make sure this is correct to get credit for the survey.,Please re-enter your student ID number. 9 digit number on your student ID. Make sure this is correct to get credit for the survey.,What was your policy area or expertise?,The moderators effectively facilitated the discussion.,"The
students seemed well prepared for the discussion.","The
discussion among all participants was productive.","The consultants contributed effectively to
the conversation.","The
Town Hall Meeting is useful for sharing student ideas and involving campus and
community members in a discussion of those ideas.","I
would recommend the Town Hall Meeting next semester to others.",What did the Town Hall Meeting mean to you?,What could be improved to make the Town Hall Meeting better?,Why did you take a Town Hall Section of POLS 155?
11/3/2022 22:44,11/3/2022 22:50,IP Address,98.208.17.127,100,342,TRUE,11/3/2022 22:50,R_1QsU1cwvyxObyEW,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11080460,11080460,Climate Change and Environmental Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Nothing at first. I now see it as a way for people to be able to critique my policy solution and help make it better.,A more organized way to get your name tag. More cookies!,It fulfilled a GE requirement.
11/3/2022 22:46,11/3/2022 22:50,IP Address,98.208.20.167,100,231,TRUE,11/3/2022 22:50,R_piUz3zw1IEwWxdD,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,10972287,10972287,Immigration Policy,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,i had to educate myself about all the problems in my policy ,A little more organized ,It was part of my grade
11/3/2022 22:44,11/3/2022 22:50,IP Address,98.208.103.1,100,345,TRUE,11/3/2022 22:50,R_3qV8fdx95whzZn6,,,,,39.7272,-121.8129,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,10620832,10620832,Climate Change and Environmental Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I was able to learn a lot within my policy, and it brought new ideas and allowed me to see how my thinking was relatively the same to others. It made me feel like I was actually contributing and not just working on something the whole semester for it to be a grade. So it meant a lot, it was a fun experience, I wish I could have heard a little from other policy groups, but overall it was good. Also wish it wasn’t so late though. ","Definitely the time, I know it’s hard to get a suitable time but it was late and it was very dark and a lot of people have to walk home. Also maybe for the sign in make it a QR code that when you register in, you get information on where to go? Or maybe be told where to go before hand so you only have to sign in with a QR code? That way everyone is seated inside and we can probably even start sooner. ","I took this class as it was a requirement for GE. It also seemed like it would be more interesting than the other classes listed. I like the town hall idea, it was new and made us involved with the area. I wish more schools where I’m from did this and maybe we would have better things in the area."
11/3/2022 22:47,11/3/2022 22:51,IP Address,50.216.25.74,100,195,TRUE,11/3/2022 22:51,R_3O0w0cdIbJoTmsY,,,,,39.7272,-121.8129,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11074844,11074844,,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,"Town Hall Meeting was a place where we got to discuss our ideas with other people in that same policy area, it really got me thinking about other issues that we have.",I think the longest part was waiting in line so maybe having more tables for students to sign into.,I took it because I wanted to learn more about how I can contribute to making bills on issues I am passionate about.
11/3/2022 22:47,11/3/2022 22:51,IP Address,132.241.174.149,100,248,TRUE,11/3/2022 22:51,R_56WCdR0fiacmt57,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11145967,11145967,Healthcare Policy,Agree,Agree,Agree,Strongly Agree,Agree,Agree,It reinforced the idea that we all have a voice in what goes on in our community.,I would say the beginning of the event could be improved such as the students lining up and getting started on time.,It fit into my schedule and thought it was different from normal format of a class.
11/3/2022 22:49,11/3/2022 22:52,IP Address,73.220.199.60,100,172,TRUE,11/3/2022 22:52,R_2pQXom3M6MTvG1Y,,,,,39.7272,-121.8129,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11039653,11039653,Immigration Policy,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,"Doing research about your policy individually and having your own opinions on what needs to change is one thing, but conversing with others who may or may not have the same views completely opens your mind to other solutions and possibilities and town hall made that possible. ",Make it possible to converse with more policy groups outside your own. ,"Ge at first, but find it very interesting. "
11/3/2022 22:44,11/3/2022 22:53,IP Address,199.48.116.70,100,546,TRUE,11/3/2022 22:53,R_2V2Ul185HcvpwFU,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11701340,11701340,Healthcare Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"It was definitely an eye opening experience as to how I can get involved in making a difference. It was also super interesting to hear everyone else’s stances and solutions. I had a very good, interactive conversation with people I enjoyed the whole experience!",Nothing I can think of. I liked it!,My roommate took the Town Hall Section of POLS and said that it was a good experience 
11/3/2022 22:49,11/3/2022 22:54,IP Address,67.166.156.38,100,255,TRUE,11/3/2022 22:54,R_2Ehi8LpyDAeciAF,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11648144,11648144,Firearm Policy,Agree,Agree,Agree,Agree,Agree,Strongly Agree,It got me out of my comfort zone and I was able to speak my opinion while hearing others and understand different people's point of view.,"Nothing everything was great I really liked it.
","besides being part of my GE requirement, I picked it because it looked interesting to me and I was right. Being able to learn different policy area that I didn't know about and learning more about the government. "
11/3/2022 22:52,11/3/2022 22:55,IP Address,73.12.167.247,100,216,TRUE,11/3/2022 22:55,R_2f9vqbTw5ykDhET,,,,,39.508,-121.4571,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,6327270,6327270,Healthcare Policy,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,"opening your view point of your subject, not going to lie I felt that I really knowledgable in my policy area until I heard my speakers experience. Hearing from other people with real world experience really opened up a dialogue between us. ","just the timing and the ending, it felt like it was a scramble to leave and I didn't really get to ask all the questions i wanted to",Graduation requirement
11/3/2022 22:54,11/3/2022 22:56,IP Address,132.241.174.75,100,138,TRUE,11/3/2022 22:56,R_3dKXDIjeWZCVZ0X,,,,,39.7272,-121.8129,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11570001,11570001,Firearm Policy,Agree,Agree,Agree,Agree,Agree,Disagree,It was an interesting experience to see the approach others took to the same policy.,The sign in could be vastly improved.,"I cannot comprehend this question
"
11/3/2022 22:49,11/3/2022 22:57,IP Address,98.208.20.167,100,460,TRUE,11/3/2022 22:57,R_2ZTBIi41p4rUjQU,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,10732125,10732125,Immigration Policy,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,To me it at first I didn’t expect much but now realize after this that this is an important thing everyone should go because this experience opens up your mind and you can make a change by attending this.,I believe organizations was the only thing that needs to be improved.,When enrolling into classes I had upperclassmen telling me this is a good course because you leave with knowledge about something specific and you get to really learn about.
11/3/2022 22:53,11/3/2022 22:58,IP Address,98.208.17.127,100,286,TRUE,11/3/2022 22:58,R_11jPULTP9kqbEVs,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11546367,11546367,Climate Change and Environmental Policy,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,"(I chose climate change because there was no previous option for agriculture food and animal policy)
Town Hall was a great and fun event for me to attend. It was very straightforward and nothing dragged on. It was a great way to connect with other students with similar policies.","My experience was great, the only thing I would recommend is section out lines more efficiently next time",I don't understand the question but I suppose I chose POLS 155 to fulfill a GE of mine.
11/3/2022 22:50,11/3/2022 22:58,IP Address,73.116.75.52,100,496,TRUE,11/3/2022 22:58,R_6FOhhC49bTYMgHT,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11473502,11473502,Immigration Policy,Strongly Agree,Agree,Agree,Agree,Agree,Agree,To me Town Hall Meeting provided a space for me to share my ideas and opinions on a topic that is very important to me and I really appreciated that.,I think the biggest issue was definitely timing. I would've liked for the sign in process to go faster but I understand the difficulty of that when there's so many students. I would've also liked the tables to be bigger at the symposium section because it was difficult to engage with the individuals who were sharing/explaining. ,"In all honesty when I signed up for classes it was overwhelming as this is my first year in college and I was mainly focused on creating a schedule that worked out and therefore I didn't really notice there was a Town Hall activity. However, as it turns out I am actually glad I chose this section because I enjoyed the experience. "
11/3/2022 22:58,11/3/2022 23:01,IP Address,98.255.113.119,100,197,TRUE,11/3/2022 23:01,R_3g5TqZEulIIsAaj,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,10976278,10976278,Drug Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"At the beginning of the project, narrowing the focus down from the broad topic of drug policy was tough. So I liked hearing how each person chose to take on the assignment and to see where their kind went when they thought about the drug policy","Once we finished the small flips and went into the BMU for activities, there was nobody who directed us where to go so it was a little confusing. Other than that it was great",I actually didn’t realize that I would be doing the THM but now that it is over I am glad that I did it
11/3/2022 22:59,11/3/2022 23:01,IP Address,132.241.174.14,100,124,TRUE,11/3/2022 23:01,R_2PvY3SrdXiKRJf8,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11653760,11653760,Immigration Policy,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,It meant a lot as I got to hear how other students think.,N/A,Because I wanted to enhance into the city of Chico
11/3/2022 22:49,11/3/2022 23:02,IP Address,71.195.162.89,100,739,TRUE,11/3/2022 23:02,R_qUPTUFQHYoOx7nX,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11038288,11038288,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I loved what the moderator and the other adults had to say with my policy topic. Getting into smaller groups really helped get conversations started and the energy was overall positive. Even though there were some disagreements, the energy of the room was focused and well rounded. ",Tell people to come earlier so we could have more time in the discussion rooms and not wait in the lines outside for as long.,As a GE requirement and I wanted to take the class with the town hall experience 
11/3/2022 22:59,11/3/2022 23:02,IP Address,132.241.174.81,100,203,TRUE,11/3/2022 23:02,R_1iew55BEYLhomyD,,,,,39.7272,-121.8129,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11014732,11014732,Housing and Homelessness Policy,Agree,Agree,,Strongly Agree,Agree,Agree,That it was a important thing to do because not everyone is going to help but having a time to discuss things and see others involved knows that we all have something we are fighting for ,Nothing,Because I need to take it 
11/3/2022 22:50,11/3/2022 23:02,IP Address,73.116.239.231,100,745,TRUE,11/3/2022 23:02,R_3qmvMYKAyND6kRa,,,,,39.7272,-121.8129,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11491650,11491650,Drug Policy,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,"The Town Hall Meeting to me was a place for students to all join together to converse over the policy areas we chose and the change we wanted to see in them. It was a productive meeting to share the policy problems we focused on, the solutions we proposed and argued for, and discuss more in detail the actions needed to be taken and the obstacles we might experience for that solution. It helped to create more ideas and outside factors to put more consideration into.","I think the organization at the beginning and end could be a little better. The lines were a little confusing while waiting to sign in and get our name tags which affected the time limits we had. At the end (during the Action Symposium) the tables and areas around them were somewhat overcrowded which made it difficult to focus/participate in the small group discussions with the action tables. Besides this, I believe everything else about the meeting was pretty productive and effective.","I took this class as a chance to get more involved in my community. It also allowed me to be more updated and aware of the policy actions going on in the U.S. currently. It educated me a lot better on our government and the actions they take, as well as the actions we can take, to create change in our societies."
11/3/2022 23:02,11/3/2022 23:05,IP Address,132.241.174.69,100,136,TRUE,11/3/2022 23:05,R_1E59UhwlUbLlESf,,,,,39.7272,-121.8129,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11372557,11372557,Cost of Living and Poverty Policy,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,We learned how to enact our policy solution I the real world,More efficient check in process,It is a requirement to graduate
11/3/2022 23:03,11/3/2022 23:07,IP Address,174.208.167.60,100,216,TRUE,11/3/2022 23:07,R_1FFgJPW4NNG8Cup,,,,,38.4819,-121.4024,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,10946391,10946391,Cost of Living and Poverty Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,It was great to be able to hear from the advisors who were knowledgeable of the subject and ask them questions. ,We did have extra time in our group after we covered our policy and solutions. We just ended up talking and getting to know each other which was also good. ,It seemed interesting and filled the criteria
11/3/2022 22:59,11/3/2022 23:08,IP Address,98.208.42.217,100,509,TRUE,11/3/2022 23:08,R_3FOsCyGGn3B8iuD,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11029968,11029968,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,The town hall meeting was interesting to see the diversity of opinions and see the intricate research students put into their research,I think the meeting should be shorter and only be amongst each individual class because it will improve organization.,"I didn't know it was a town hall section when I enrolled, however I liked the experience because it was new."
11/3/2022 22:59,11/3/2022 23:08,IP Address,73.220.199.169,100,552,TRUE,11/3/2022 23:08,R_2ZUgv7kyWRofnOS,,,,,39.7272,-121.8129,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,8779122,8779122,Criminal Justice Policy,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The Town Hall Meeting meant I had a chance to express my thoughts and concerns to someone who actually mattered and would listen. It was a great way to learn new information on my policy I hadn’t known before. ,"Maybe clearer instructions to the moderator. I asked carlee I Believe was her name at the beginning of the breakout session if there was a worksheet for us because I told her my instructor said you would give it to us and she said no I don’t have it, and then gave us the worksheet 2 minutes before we were walking out of the door at 8 pm. I had almost already forgot everyone else’s policies because I was so deeply into a conversation with the police officer. Probably on her part though. Definitely need to address the line situation because there was no indication of which line was which and it wasn’t until people were already standing in line for 25+ minutes that helper people were clarifying which line is which ",For my GE requirement 
11/3/2022 22:56,11/3/2022 23:19,IP Address,73.90.173.97,100,1335,TRUE,11/3/2022 23:19,R_T5YL72XzTcsEpZn,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11246262,11246262,Climate Change and Environmental Policy,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"It was a great experience to get involved in the policy issue and propose various solutions for the same. Also discussing with peers, and community members helped me to understand different perspectives on a specific policy problem. ",Technology can be used to check in as it saves a lot of time. ,I wanted to get involved in research and interact with people regarding issues that are around us and raise my voice.
11/3/2022 23:24,11/3/2022 23:26,IP Address,73.90.174.156,100,124,TRUE,11/3/2022 23:26,R_Ycu9PdnNjy0fRK1,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,10900319,10900319,Climate Change and Environmental Policy,Agree,Disagree,Agree,Disagree,Agree,Agree,I think it was informative to hear different stances on the topics that we chose.,I think it could have been facilitated a little better. The moderators were sometimes lost as well.,It is required for my major.
11/3/2022 23:28,11/3/2022 23:31,IP Address,132.241.174.213,100,219,TRUE,11/3/2022 23:31,R_12xvdCK6MsXaSdb,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11399337,11399337,Drug Policy,Agree,Agree,Agree,Agree,Agree,Disagree,It was good but the discussion wasn’t super productive. It was nice to get points across but it doesn’t seem like much action is going to be taken on these ideas ,"More organized 
",
11/3/2022 23:29,11/3/2022 23:32,IP Address,98.208.19.250,100,156,TRUE,11/3/2022 23:32,R_2SqaRmjzLkGJjd3,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,10826531,10826531,Immigration Policy,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Meant a lot. Kept us accountable for our work,Better line up methods,Was required and town hall was the only class available at the time 
11/3/2022 23:28,11/3/2022 23:36,IP Address,132.241.174.169,100,534,TRUE,11/3/2022 23:36,R_XGKQgEgCqjqKMPn,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11631998,11631998,Reproductive Health Policy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Town Hall felt like a bouncing of ideas. I really enjoyed having experts there because they provided information on my topic that I could not which expanded my knowledge.,My group went very smoothly for Town Hall but I heard about others that weren't given papers so maybe just better communication so each group is given the same resources and information.,This section was a requirement for my GE credits.
11/3/2022 23:36,11/3/2022 23:42,IP Address,98.255.113.119,100,391,TRUE,11/3/2022 23:42,R_yq2Wf7rp69I8Gad,,,,,39.8068,-121.867,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,10991969,10991969,Drug Policy,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,"The Town Hall Meeting provided me with an opportunity to share my ideas regarding my policy. I felt as if I received productive feedback and engaged in positive conversation. Furthermore, I found it even more interesting to hear the ideas of others in my smaller group. Asking my small group questions about their topics and discussing ideas as a class proved to be a truly entertaining, and fulfilling experience.","Town Hall Meetings could be improved with clear communication to all participating members and more organized interactions. I felt slightly uninformed and needed clarification at times. Other than that, I have no further suggestions.",I was curious as to what it was. I'm glad I took this option of the course. I would recommend it to others.
11/3/2022 23:47,11/3/2022 23:50,IP Address,132.241.174.33,100,146,TRUE,11/3/2022 23:50,R_Dc0tRrVyjsnvEtz,,,,,39.7458,-121.8444,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11392655,11392655,Drug Policy,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Extremely involved ,idk,recommended to me
11/3/2022 23:50,11/4/2022 0:02,IP Address,166.216.158.11,100,739,TRUE,11/4/2022 0:02,R_2yrz0MOrTFMBJxm,,,,,37.6403,-122.0667,anonymous,EN,I am 18-years of age or older and I agree to take this survey.,11125687,11125687,Criminal Justice Policy,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,"I am not going to lie, I had low expectations going in, mainly because I have had poor experiences in similar events back in junior college, BUT, the counselors brought in were great. The varied opinions were excellent and it was good getting grilled by the interim police chief. He was friendly with me, but direct and quick to find counters. We had a good time! Honestly the counselors made the experience for me! I would highly recommend this to others because of it. Once we had that, the symposium was also fun, I stayed a bit later to have some smaller groups and deeper conversations. It was great.","Being quicker with the sign in and the start would be great, also the fellow students did not want to engage with the topics when the counselors weren't around. I wanted to continue discussions after my idea got grilled, I wanted to discuss workarounds and solutions, same for the other people's ideas, and simply put, they didn't want to. It felt like they did not prepare enough for the event.",I did not know there was an option not to.
