ResponseID,Semester,Year,Term,StudentID,PolicyArea,Question_Column,Question_Short,Response_Text,Response_Length,Word_Count,Original_Row_Index,Question_Category,Response_Text_Clean,Dataset,Date_Extracted,Sentence_Count,Avg_Word_Length
Fall_2022_16,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"Town Hall Meeting was a place where we got to discuss our ideas with other people in that same policy area, it really got me thinking about other issues that we have.",166,32,16,Personal_Meaning,town hall meeting was a place where we got to discuss our ideas with other people in that same policy area it really got me thinking about other issues that we have,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.19
Fall_2022_17,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It reinforced the idea that we all have a voice in what goes on in our community.,81,17,17,Personal_Meaning,it reinforced the idea that we all have a voice in what goes on in our community,THM_All_Semesters,2026-02-11 15:44:00.160575,2,4.76
Fall_2022_18,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"Doing research about your policy individually and having your own opinions on what needs to change is one thing, but conversing with others who may or may not have the same views completely opens your mind to other solutions and possibilities and town hall made that possible.",276,47,18,Personal_Meaning,doing research about your policy individually and having your own opinions on what needs to change is one thing but conversing with others who may or may not have the same views completely opens your mind to other solutions and possibilities and town hall made that possible,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.87
Fall_2022_19,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"It was definitely an eye opening experience as to how I can get involved in making a difference. It was also super interesting to hear everyone else’s stances and solutions. I had a very good, interactive conversation with people I enjoyed the whole experience!",261,44,19,Personal_Meaning,it was definitely an eye opening experience as to how i can get involved in making a difference it was also super interesting to hear everyone elses stances and solutions i had a very good interactive conversation with people i enjoyed the whole experience,THM_All_Semesters,2026-02-11 15:44:00.160575,3,5.93
Fall_2022_20,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It got me out of my comfort zone and I was able to speak my opinion while hearing others and understand different people's point of view.,137,26,20,Personal_Meaning,it got me out of my comfort zone and i was able to speak my opinion while hearing others and understand different peoples point of view,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.27
Fall_2022_21,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"opening your view point of your subject, not going to lie I felt that I really knowledgable in my policy area until I heard my speakers experience. Hearing from other people with real world experience really opened up a dialogue between us.",240,42,21,Personal_Meaning,opening your view point of your subject not going to lie i felt that i really knowledgable in my policy area until i heard my speakers experience hearing from other people with real world experience really opened up a dialogue between us,THM_All_Semesters,2026-02-11 15:44:00.160575,3,5.71
Fall_2022_22,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It was an interesting experience to see the approach others took to the same policy.,84,15,22,Personal_Meaning,it was an interesting experience to see the approach others took to the same policy,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.6
Fall_2022_23,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,To me it at first I didn’t expect much but now realize after this that this is an important thing everyone should go because this experience opens up your mind and you can make a change by attending this.,204,39,23,Personal_Meaning,to me it at first i didnt expect much but now realize after this that this is an important thing everyone should go because this experience opens up your mind and you can make a change by attending this,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.23
Fall_2022_24,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"(I chose climate change because there was no previous option for agriculture food and animal policy)
Town Hall was a great and fun event for me to attend. It was very straightforward and nothing dragged on. It was a great way to connect with other students with similar policies.",279,49,24,Personal_Meaning,"i chose climate change because there was no previous option for agriculture food and animal policy
town hall was a great and fun event for me to attend it was very straightforward and nothing dragged on it was a great way to connect with other students with similar policies",THM_All_Semesters,2026-02-11 15:44:00.160575,4,5.69
Fall_2022_25,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,To me Town Hall Meeting provided a space for me to share my ideas and opinions on a topic that is very important to me and I really appreciated that.,149,30,25,Personal_Meaning,to me town hall meeting provided a space for me to share my ideas and opinions on a topic that is very important to me and i really appreciated that,THM_All_Semesters,2026-02-11 15:44:00.160575,2,4.97
Fall_2022_26,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"At the beginning of the project, narrowing the focus down from the broad topic of drug policy was tough. So I liked hearing how each person chose to take on the assignment and to see where their kind went when they thought about the drug policy",244,46,26,Personal_Meaning,at the beginning of the project narrowing the focus down from the broad topic of drug policy was tough so i liked hearing how each person chose to take on the assignment and to see where their kind went when they thought about the drug policy,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.3
Fall_2022_27,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It meant a lot as I got to hear how other students think.,57,13,27,Personal_Meaning,it meant a lot as i got to hear how other students think,THM_All_Semesters,2026-02-11 15:44:00.160575,2,4.38
Fall_2022_28,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"I loved what the moderator and the other adults had to say with my policy topic. Getting into smaller groups really helped get conversations started and the energy was overall positive. Even though there were some disagreements, the energy of the room was focused and well rounded.",281,47,28,Personal_Meaning,i loved what the moderator and the other adults had to say with my policy topic getting into smaller groups really helped get conversations started and the energy was overall positive even though there were some disagreements the energy of the room was focused and well rounded,THM_All_Semesters,2026-02-11 15:44:00.160575,4,5.98
Fall_2022_29,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,That it was a important thing to do because not everyone is going to help but having a time to discuss things and see others involved knows that we all have something we are fighting for,186,36,29,Personal_Meaning,that it was a important thing to do because not everyone is going to help but having a time to discuss things and see others involved knows that we all have something we are fighting for,THM_All_Semesters,2026-02-11 15:44:00.160575,1,5.17
Fall_2022_30,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"The Town Hall Meeting to me was a place for students to all join together to converse over the policy areas we chose and the change we wanted to see in them. It was a productive meeting to share the policy problems we focused on, the solutions we proposed and argued for, and discuss more in detail the actions needed to be taken and the obstacles we might experience for that solution. It helped to create more ideas and outside factors to put more consideration into.",469,86,30,Personal_Meaning,the town hall meeting to me was a place for students to all join together to converse over the policy areas we chose and the change we wanted to see in them it was a productive meeting to share the policy problems we focused on the solutions we proposed and argued for and discuss more in detail the actions needed to be taken and the obstacles we might experience for that solution it helped to create more ideas and outside factors to put more consideration into,THM_All_Semesters,2026-02-11 15:44:00.160575,4,5.45
Fall_2022_31,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,We learned how to enact our policy solution I the real world,60,12,31,Personal_Meaning,we learned how to enact our policy solution i the real world,THM_All_Semesters,2026-02-11 15:44:00.160575,1,5.0
Fall_2022_32,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It was great to be able to hear from the advisors who were knowledgeable of the subject and ask them questions.,111,21,32,Personal_Meaning,it was great to be able to hear from the advisors who were knowledgeable of the subject and ask them questions,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.29
Fall_2022_33,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,The town hall meeting was interesting to see the diversity of opinions and see the intricate research students put into their research,134,22,33,Personal_Meaning,the town hall meeting was interesting to see the diversity of opinions and see the intricate research students put into their research,THM_All_Semesters,2026-02-11 15:44:00.160575,1,6.09
Fall_2022_34,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,The Town Hall Meeting meant I had a chance to express my thoughts and concerns to someone who actually mattered and would listen. It was a great way to learn new information on my policy I hadn’t known before.,209,39,34,Personal_Meaning,the town hall meeting meant i had a chance to express my thoughts and concerns to someone who actually mattered and would listen it was a great way to learn new information on my policy i hadnt known before,THM_All_Semesters,2026-02-11 15:44:00.160575,3,5.36
Fall_2022_35,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"It was a great experience to get involved in the policy issue and propose various solutions for the same. Also discussing with peers, and community members helped me to understand different perspectives on a specific policy problem.",232,37,35,Personal_Meaning,it was a great experience to get involved in the policy issue and propose various solutions for the same also discussing with peers and community members helped me to understand different perspectives on a specific policy problem,THM_All_Semesters,2026-02-11 15:44:00.160575,3,6.27
Fall_2022_36,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,I think it was informative to hear different stances on the topics that we chose.,81,15,36,Personal_Meaning,i think it was informative to hear different stances on the topics that we chose,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.4
Fall_2022_37,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It was good but the discussion wasn’t super productive. It was nice to get points across but it doesn’t seem like much action is going to be taken on these ideas,161,31,37,Personal_Meaning,it was good but the discussion wasnt super productive it was nice to get points across but it doesnt seem like much action is going to be taken on these ideas,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.19
Fall_2022_38,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,Meant a lot. Kept us accountable for our work,45,9,38,Personal_Meaning,meant a lot kept us accountable for our work,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.0
Fall_2022_39,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,Town Hall felt like a bouncing of ideas. I really enjoyed having experts there because they provided information on my topic that I could not which expanded my knowledge.,170,29,39,Personal_Meaning,town hall felt like a bouncing of ideas i really enjoyed having experts there because they provided information on my topic that i could not which expanded my knowledge,THM_All_Semesters,2026-02-11 15:44:00.160575,3,5.86
Fall_2022_40,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"The Town Hall Meeting provided me with an opportunity to share my ideas regarding my policy. I felt as if I received productive feedback and engaged in positive conversation. Furthermore, I found it even more interesting to hear the ideas of others in my smaller group. Asking my small group questions about their topics and discussing ideas as a class proved to be a truly entertaining, and fulfilling experience.",414,69,40,Personal_Meaning,the town hall meeting provided me with an opportunity to share my ideas regarding my policy i felt as if i received productive feedback and engaged in positive conversation furthermore i found it even more interesting to hear the ideas of others in my smaller group asking my small group questions about their topics and discussing ideas as a class proved to be a truly entertaining and fulfilling experience,THM_All_Semesters,2026-02-11 15:44:00.160575,5,6.0
Fall_2022_42,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"I am not going to lie, I had low expectations going in, mainly because I have had poor experiences in similar events back in junior college, BUT, the counselors brought in were great. The varied opinions were excellent and it was good getting grilled by the interim police chief. He was friendly with me, but direct and quick to find counters. We had a good time! Honestly the counselors made the experience for me! I would highly recommend this to others because of it. Once we had that, the symposium was also fun, I stayed a bit later to have some smaller groups and deeper conversations. It was great.",605,109,42,Personal_Meaning,i am not going to lie i had low expectations going in mainly because i have had poor experiences in similar events back in junior college but the counselors brought in were great the varied opinions were excellent and it was good getting grilled by the interim police chief he was friendly with me but direct and quick to find counters we had a good time honestly the counselors made the experience for me i would highly recommend this to others because of it once we had that the symposium was also fun i stayed a bit later to have some smaller groups and deeper conversations it was great,THM_All_Semesters,2026-02-11 15:44:00.160575,7,5.55
Fall_2022_43,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,Town Hall really helped me open up more to my community and learn so much more about topics and getting to see other students' ideas.,133,25,43,Personal_Meaning,town hall really helped me open up more to my community and learn so much more about topics and getting to see other students ideas,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.32
Fall_2022_44,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,What it meant for me was seeing how people brought there own solutions and ideas to help develop and find the answers to situations happening in our world. How we can improve and educate ourselves.,197,35,44,Personal_Meaning,what it meant for me was seeing how people brought there own solutions and ideas to help develop and find the answers to situations happening in our world how we can improve and educate ourselves,THM_All_Semesters,2026-02-11 15:44:00.160575,3,5.63
Fall_2022_45,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,I thought it was a great experience to hear about other people's solutions and what motivated them to learn about this policy,125,22,45,Personal_Meaning,i thought it was a great experience to hear about other peoples solutions and what motivated them to learn about this policy,THM_All_Semesters,2026-02-11 15:44:00.160575,1,5.68
Fall_2022_47,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It was cool hearing other peoples ideas and the consultants had important insight that taught me a lot.,103,18,47,Personal_Meaning,it was cool hearing other peoples ideas and the consultants had important insight that taught me a lot,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.72
Fall_2022_48,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It meant being able to discuss my own policy problems and solution and also hear about others as well. I was able to talk to a large group of students who noticed issues and were able to relate on how it affects people or ourselves. I thought it was an informative experience.,276,52,48,Personal_Meaning,it meant being able to discuss my own policy problems and solution and also hear about others as well i was able to talk to a large group of students who noticed issues and were able to relate on how it affects people or ourselves i thought it was an informative experience,THM_All_Semesters,2026-02-11 15:44:00.160575,4,5.31
Fall_2022_49,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,I thought it was a good way to get a more real-world experience that I would never get from simply writing another research paper.,130,24,49,Personal_Meaning,i thought it was a good way to get a more realworld experience that i would never get from simply writing another research paper,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.42
Fall_2022_50,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,I was very helpful hearing other peoples ideas about climate change and the different approaches people took to come you with ideas. And also made my policy become more strong.,176,30,50,Personal_Meaning,i was very helpful hearing other peoples ideas about climate change and the different approaches people took to come you with ideas and also made my policy become more strong,THM_All_Semesters,2026-02-11 15:44:00.160575,3,5.87
Fall_2022_51,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,The town hall was a great opportunity to discuss my topic area and talk to other likeminded students who have a passion for ocean pollution. I learned a lot more from one student who talked to me about their policy solution.,224,41,51,Personal_Meaning,the town hall was a great opportunity to discuss my topic area and talk to other likeminded students who have a passion for ocean pollution i learned a lot more from one student who talked to me about their policy solution,THM_All_Semesters,2026-02-11 15:44:00.160575,3,5.46
Fall_2022_52,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It meant that I was able to share my thoughts and learn on other policies.,74,15,52,Personal_Meaning,it meant that i was able to share my thoughts and learn on other policies,THM_All_Semesters,2026-02-11 15:44:00.160575,2,4.93
Fall_2022_53,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,I thought it was a very insightful and interesting experience into the political system. A take away is how to have effective discourse and talk about topics.,158,27,53,Personal_Meaning,i thought it was a very insightful and interesting experience into the political system a take away is how to have effective discourse and talk about topics,THM_All_Semesters,2026-02-11 15:44:00.160575,3,5.85
Fall_2022_54,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It was a way to show my knowledge while learning more about a topic that interested me,86,17,54,Personal_Meaning,it was a way to show my knowledge while learning more about a topic that interested me,THM_All_Semesters,2026-02-11 15:44:00.160575,1,5.06
Fall_2022_55,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"It honestly was a super good expiernce, I was nervous at first but when I was with smaller groups it helped me feel comfortable and share me thought and feeling on healthcare problems and solutions. I feel like I'm able to talk to people better and share my opinions with others in a polite manner.",298,55,55,Personal_Meaning,it honestly was a super good expiernce i was nervous at first but when i was with smaller groups it helped me feel comfortable and share me thought and feeling on healthcare problems and solutions i feel like im able to talk to people better and share my opinions with others in a polite manner,THM_All_Semesters,2026-02-11 15:44:00.160575,3,5.42
Fall_2022_56,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It meant that I got to see how other people chose to approach the topic they chose,82,17,56,Personal_Meaning,it meant that i got to see how other people chose to approach the topic they chose,THM_All_Semesters,2026-02-11 15:44:00.160575,1,4.82
Fall_2022_57,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,Honestly I had a lot of nervousness going into town hall but it was definitely fun sharing my ideas with peers in a fun light hearted environment,145,27,57,Personal_Meaning,honestly i had a lot of nervousness going into town hall but it was definitely fun sharing my ideas with peers in a fun light hearted environment,THM_All_Semesters,2026-02-11 15:44:00.160575,1,5.37
Fall_2022_58,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It was important to hear about more policy issues that I wasn’t aware about in my own state that is important to listen to.,123,24,58,Personal_Meaning,it was important to hear about more policy issues that i wasnt aware about in my own state that is important to listen to,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.12
Fall_2022_59,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It meant meeting others with my policy topic and discussing how they see the topic. It was also a way to talk to consultants to receive more accurate information on my topic.,174,32,59,Personal_Meaning,it meant meeting others with my policy topic and discussing how they see the topic it was also a way to talk to consultants to receive more accurate information on my topic,THM_All_Semesters,2026-02-11 15:44:00.160575,3,5.44
Fall_2022_60,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,Town hall was an event that put me out of my comfort zone in a good way. It was nice to talk to people I have never met and hear their ideas.,141,32,60,Personal_Meaning,town hall was an event that put me out of my comfort zone in a good way it was nice to talk to people i have never met and hear their ideas,THM_All_Semesters,2026-02-11 15:44:00.160575,3,4.41
Fall_2022_61,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,Town Hall was a place where I could learn about other policy solutions in my same policy area and other new things having to do with getting involved.,150,28,61,Personal_Meaning,town hall was a place where i could learn about other policy solutions in my same policy area and other new things having to do with getting involved,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.36
Fall_2022_62,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,My area being reproductive health policy it was empowering seeing how many fellow peers are ready to back not only women but men in this fight as well. Reproductive rights are complex and recently the rights to certain aspects of care have been denied or restricted. Having experts speak to the issues we presented was also eye opening from a logistical stand point.,366,63,62,Personal_Meaning,my area being reproductive health policy it was empowering seeing how many fellow peers are ready to back not only women but men in this fight as well reproductive rights are complex and recently the rights to certain aspects of care have been denied or restricted having experts speak to the issues we presented was also eye opening from a logistical stand point,THM_All_Semesters,2026-02-11 15:44:00.160575,4,5.81
Fall_2022_63,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"To me, it meant expressing concern and solutions about issues that matter to myself and other like-minded people while also hearing the other side of the argument to make an educated decision based on the facts.",211,36,63,Personal_Meaning,to me it meant expressing concern and solutions about issues that matter to myself and other likeminded people while also hearing the other side of the argument to make an educated decision based on the facts,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.86
Fall_2022_64,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,An introduction to civic engagement,35,5,64,Personal_Meaning,an introduction to civic engagement,THM_All_Semesters,2026-02-11 15:44:00.160575,1,7.0
Fall_2022_65,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,To mean the Town Hall Meeting is a way to get your ideas out there ton people who specialize i your policy so they can help you fix it if needed.,145,31,65,Personal_Meaning,to mean the town hall meeting is a way to get your ideas out there ton people who specialize i your policy so they can help you fix it if needed,THM_All_Semesters,2026-02-11 15:44:00.160575,2,4.68
Fall_2022_66,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,An introduction for students with the process of civic engagement,65,10,66,Personal_Meaning,an introduction for students with the process of civic engagement,THM_All_Semesters,2026-02-11 15:44:00.160575,1,6.5
Fall_2022_67,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"It meant a lot to me because it opened my eyes to the outlooks of other students' ideas. The contradictions made towards my policy solution helped me better it, and come up with even more ways to help the issue that I was trying to solve.",238,46,67,Personal_Meaning,it meant a lot to me because it opened my eyes to the outlooks of other students ideas the contradictions made towards my policy solution helped me better it and come up with even more ways to help the issue that i was trying to solve,THM_All_Semesters,2026-02-11 15:44:00.160575,3,5.17
Fall_2022_68,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"it meant learning about ideas, and what current college students feel thats most important to them and how it impacts their lives.",130,22,68,Personal_Meaning,it meant learning about ideas and what current college students feel thats most important to them and how it impacts their lives,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.91
Fall_2022_70,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,it brought up new ideas I didn’t think of before,48,10,70,Personal_Meaning,it brought up new ideas i didnt think of before,THM_All_Semesters,2026-02-11 15:44:00.160575,1,4.8
Fall_2022_71,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,It was a great way to hear what other people think about certain policies.,74,14,71,Personal_Meaning,it was a great way to hear what other people think about certain policies,THM_All_Semesters,2026-02-11 15:44:00.160575,2,5.29
Fall_2022_73,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,Having a stance in the community,32,6,73,Personal_Meaning,having a stance in the community,THM_All_Semesters,2026-02-11 15:44:00.160575,1,5.33
Fall_2022_75,Fall_2022,2022,Fall,,,What did the Town Hall Meeting mean to you?,What did the Town Hall Meeting mean to you?,"It was a fun opportunity to hear what other students focused on in my policy area and proposed solutions, as well as how similar some of the more seemingly different topics were",177,32,75,Personal_Meaning,it was a fun opportunity to hear what other students focused on in my policy area and proposed solutions as well as how similar some of the more seemingly different topics were,THM_All_Semesters,2026-02-11 15:44:00.160575,1,5.53
